"filename", "language", "Dart", "comment", "blank", "total"
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/Philosophy/philosofy_paint.dart", "Dart", 31, 3, 5, 39
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/Theology/theology_paint.dart", "Dart", 16, 17, 4, 37
"Total", "-", 47, 20, 9, 76
