"filename", "language", "Dart", "comment", "blank", "total"
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/Philosophy/philosofy_label.dart", "Dart", 45, 0, 5, 50
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/Philosophy/philosophy_building.dart", "Dart", 1, 0, 0, 1
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/Theology/theology_building.dart", "Dart", 1, -3, 0, -2
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/common_widgets/building_label.dart", "Dart", 69, 1, 5, 75
"/media/sdd1/DEV_Archive/Temps/Aristotelio_3D_Map/aristotelio_map/lib/map_with_ovelays.dart", "Dart", 36, 0, 4, 40
"Total", "-", 152, -2, 14, 164
